"CubeId";"snbiproga"
"PublishingDate";"2025-03-26 15:00"

"Date";"D0";"D1";"Value"
"2003";"M2023POFFP";"BI";
"2003";"M2023POFFP";"P";
"2003";"J2023POFFP";"BI";
"2003";"J2023POFFP";"P";
"2003";"S2023POFFP";"BI";
"2003";"S2023POFFP";"P";
"2003";"D2023POFFP";"BI";
"2003";"D2023POFFP";"P";
"2003";"M2024POFFP";"BI";
"2003";"M2024POFFP";"P";
"2003";"J2024POFFP";"BI";
"2003";"J2024POFFP";"P";
"2003";"S2024POFFP";"BI";
"2003";"S2024POFFP";"P";
"2003";"D2024POFFP";"BI";
"2003";"D2024POFFP";"P";
"2003";"M2025POFFP";"BI";
"2003";"M2025POFFP";"P";
"2004";"J2004PL05P";"BI";
"2004";"J2004PL05P";"P";"0.6"
"2004";"S2004PL075P";"BI";
"2004";"S2004PL075P";"P";"0.7"
"2004";"D2004PL075P";"BI";
"2004";"D2004PL075P";"P";
"2004";"M2005PL075P";"BI";
"2004";"M2005PL075P";"P";
"2004";"J2005PL075P";"BI";
"2004";"J2005PL075P";"P";
"2004";"S2005PL075P";"BI";
"2004";"S2005PL075P";"P";
"2004";"D2005PL100P";"BI";
"2004";"D2005PL100P";"P";
"2004";"M2006PL125P";"BI";
"2004";"M2006PL125P";"P";
"2004";"J2006PL15P0";"BI";
"2004";"J2006PL15P0";"P";
"2004";"S2006PL175P";"BI";
"2004";"S2006PL175P";"P";
"2004";"D2006PL200P";"BI";
"2004";"D2006PL200P";"P";
"2004";"M2007PL225P";"BI";
"2004";"M2007PL225P";"P";
"2004";"J2007PL250P";"BI";
"2004";"J2007PL250P";"P";
"2004";"S2007PL275P";"BI";
"2004";"S2007PL275P";"P";
"2004";"D2007PL275P";"BI";
"2004";"D2007PL275P";"P";
"2004";"M2008PL275P";"BI";
"2004";"M2008PL275P";"P";
"2004";"J2008PL275P";"BI";
"2004";"J2008PL275P";"P";
"2004";"S2008PL275P";"BI";
"2004";"S2008PL275P";"P";
"2004";"D2008PL050P";"BI";
"2004";"D2008PL050P";"P";
"2004";"M2009PL025P";"BI";
"2004";"M2009PL025P";"P";
"2004";"J2009PL025P";"BI";
"2004";"J2009PL025P";"P";
"2004";"S2009PL025P";"BI";
"2004";"S2009PL025P";"P";
"2004";"D2009PL025P";"BI";
"2004";"D2009PL025P";"P";
"2004";"M2010PL025P";"BI";
"2004";"M2010PL025P";"P";
"2004";"J2010PL025P";"BI";
"2004";"J2010PL025P";"P";
"2004";"S2010PL025P";"BI";
"2004";"S2010PL025P";"P";
"2004";"D2010PL025P";"BI";
"2004";"D2010PL025P";"P";
"2004";"M2011PL025P";"BI";
"2004";"M2011PL025P";"P";
"2004";"J2011PL025P";"BI";
"2004";"J2011PL025P";"P";
"2004";"S2011PL000P";"BI";
"2004";"S2011PL000P";"P";
"2004";"D2011PL000P";"BI";
"2004";"D2011PL000P";"P";
"2004";"M2012PL000P";"BI";
"2004";"M2012PL000P";"P";
"2004";"J2012PL000P";"BI";
"2004";"J2012PL000P";"P";
"2004";"S2012PL000P";"BI";
"2004";"S2012PL000P";"P";
"2004";"D2012PL000P";"BI";
"2004";"D2012PL000P";"P";
"2004";"M2013PL000P";"BI";
